CompoundCode,CompoundSMILES,CompoundConcentration,LibraryPlate,CrystalName,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,has_syndirella_name,base_name,crystal_hit,CAR,KD,KD_sd,KD_sem,kd_off_rate,kd_off_rate_sd,kd_off_rate1,kd_off_rate2,hit1,hit2,chainA_exp_predicted_RMSD,chainB_exp_predicted_RMSD,v2_chainA_exp_predicted_RMSD,v2_chainB_exp_predicted_RMSD,measurable_affinity,X,Y
Ric8enhan-3-frag-placed-18,Cc1ccc(Oc2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)cc1,9,NCS1-sulf,NCS1-x0974,OK: No comment:No comment,success,1.844,3 - In Refinement,True,Ric8enhancer-3,True,True,,,,,,,,x0125-0A,x0580-0A,2.904704,2.508129,,,False,30.144907,1.7309283
Ric8enhan-3-frag-placed-807,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccccc4)cc3N)cccc2c1,9,NCS1-sulf,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8enhancer-3,False,True,288.9264119,140.8206784,46.94023,1.75,1.54,,,x0125-0A,x0580-0A,,,,,True,32.43668,1.6071788
Ric8enhan-3-frag-placed-1,Nc1cccc(Oc2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)c1,9,NCS1-sulf,NCS1-x0975,OK: No comment:No comment,success,1.778,3 - In Refinement,True,Ric8enhancer-3,True,True,192.1926348,79.28068004,28.02995,2.57,3.71,,,x0125-0A,x0580-0A,2.750668,2.983609,,,True,29.699127,1.9882922
Ric8enhan-3-frag-placed-1280,COc1ccccc1Oc1ccc(NS(=O)(=O)c2cccc3cc(C)cnc23)cc1,9,NCS1-sulf,NCS1-x0976,OK: No comment:No comment,success,5.61,2 - PANDDA model,True,Ric8enhancer-3,False,True,169.6486391,64.16735187,24.25298,0.74,0.4,,,x0125-0A,x0580-0A,,,,,True,31.271618,2.56541
Ric8enhan-3-frag-placed-669,Cc1ccc(Oc2ccc(NS(=O)(=O)c3cccc4cc(C)cnc34)cc2)cc1,9,NCS1-sulf,NCS1-x0977,OK: No comment:No comment,success,1.962,3 - In Refinement,True,Ric8enhancer-3,False,True,169.1713197,67.54285717,27.57426,0.41,0.27,,,x0125-0A,x0580-0A,,,,,True,31.627653,1.6436855
Ric8enhan-3-frag-placed-28,O=S(=O)(Nc1ccc(Oc2ccccc2)c(Cl)c1)c1cccc2cccnc12,9,NCS1-sulf,NCS1-x0978,OK: No comment:No comment,success,1.675,3 - In Refinement,True,Ric8enhancer-3,False,True,677.8629881,759.8162933,240.275,0.79,0.57,,,x0125-0A,x0580-0A,,,,,True,30.004562,3.350841
Ric8enhan-3-frag-placed-1367,Cc1cnc2c(S(=O)(=O)Nc3ccc(Oc4ccccc4C)c(C)c3)cccc2c1,9,NCS1-sulf,NCS1-x0979,OK: No comment:No comment,FALSE,0.0,2 - PANDDA model,True,Ric8enhancer-3,False,True,,,,,,,,x0125-0A,x0580-0A,,,,,False,32.096363,2.6220675
Ric8enhan-3-frag-placed-1735,Cc1cc(Oc2ccc(F)c(F)c2)ccc1NS(=O)(=O)c1cccc2cccnc12,9,NCS1-sulf,FALSE,FAIL: No comment:No comment,FALSE,0.0,5 - Deposition ready,True,Ric8enhancer-3,False,True,177.1111131,81.02624315,25.62275,0.88,0.32,,,x0125-0A,x0580-0A,,,,,True,29.586397,0.96673906
Ric8enhan-3-frag-placed-546,O=S(=O)(Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1)c1cccc2cccnc12,9,NCS1-sulf,NCS1-x0980,OK: No comment:No comment,success,1.729,1 - Analysis Pending,True,Ric8enhancer-3,False,True,,,,,,,,x0125-0A,x0580-0A,,,,,False,29.476662,3.0974934
Ric8enhan-3-frag-placed-666,COc1ccccc1Oc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1,9,NCS1-sulf,NCS1-x0981,OK: No comment:No comment,success,2.085,3 - In Refinement,True,Ric8enhancer-3,True,True,241.1184723,124.1969909,41.399,1.3,1.06,,,x0125-0A,x0580-0A,3.260707,4.203883,,,True,30.019657,2.582018
